id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Eric;Daugherty;Frederick_OConnell72@hotmail.com;local area network Benin;2019-06-25T08:36:03;36771;63633
2;Dimitri;Friesen;Lamar.Wiza48@gmail.com;Investor users dot-com;2019-06-25T05:19:48;57690;66892
3;Jeramie;Stracke;Daren.Reichert@gmail.com;Shoes deposit;2019-06-25T16:33:42;99455;94045
4;Janet;Wilkinson;Tavares_Tillman@gmail.com;Factors;2019-06-25T12:52:27;42818;55276
5;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2019-06-25T00:23:07;26847;31692
6;Jazmyne;Dach;Kaylie_Huels69@yahoo.com;Arkansas Intelligent Credit Card Account;2019-06-24T21:03:04;35864;14008
7;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2019-06-25T12:11:04;55281;29359
8;Elenora;Schowalter;Ramiro_Gaylord91@yahoo.com;Avon;2019-06-25T08:46:33;62789;79829
9;Clemmie;O'Conner;Maybelle.Hyatt89@gmail.com;value-added incubate Practical;2019-06-25T06:56:01;67202;3594
10;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2019-06-25T19:52:49;82260;30326
